UI fieldname Plytix (displayed in UI),System fieldname (Plytix calls it label),Field type Plytix,Formula
Recommended pressure (bar),recommended_pressure_bar,Short Text,
Reflective,reflective,Dropdown,
Reflective features,reflective_features,Dropdown,
Reinforced Finbox,reinforced_finbox,Dropdown,
Removable earpads,removable_earpads,Multiselect,
Repair Kit,repair_kit,Dropdown,
Resistance,resistance,Short Text,
Rims,rims,Short Text,
Risk Item,risk_item,Short Text,
Rocker,rocker,Short Text,
Rope length (cm),rope_length_cm,Short Text,
Rope Bearings,rope_bearings,Dropdown,
Rope Counter,rope_counter,Dropdown,
Rope length (cm),rope_length_cm,Dropdown,
Rope Swivel,rope_swivel,Dropdown,
Rope Type,rope_type,Dropdown,
Rubber tip,rubber_tip,Dropdown,
Seat padding,seat_padding,Dropdown,
Secondary Material,secondary_material,Dropdown,
Set composition,set_composition,Dropdown,
Shaft Material,shaft_material,Dropdown,
Shape,shape,Short Text,
Shell construction,shell_construction,Dropdown,
Shell Finish,shell_finish,Dropdown,
Shell material,shell_material,Dropdown,
Shield,shield,Dropdown,
Shock Absorption Foam,shock_absorption_foam,Dropdown,
Shoe closing,shoe_closing,Multiselect,
Shoe compartment,shoe_compartment,Dropdown,
Shoe last,shoe_last,Dropdown,
Shoe Pocket,shoe_pocket,Dropdown,
Shoulder strap,shoulder_strap,Dropdown,
Side cut,side_cut,Short Text,
Side Stringers,side_stringers,Dropdown,
Size,size,Short Text,
Ski Weight (g),ski_weight_g,Short Text,
Ski Rocker,ski_rocker,Dropdown,
Sock,sock,Short Text,
Soft Floor Protection,soft_floor_protection,Dropdown,
SOS print,sos_print,Dropdown,
Speed,speed,Short Text,
Spikes,spikes,Dropdown,
Spin,spin,Short Text,
Splash Guard,splash_guard,Dropdown,
Sponge thickness (mm),sponge_thickness_mm,Short Text,
Strap,strap,Short Text,
Strap Adjustment System,strap_adjustment_system,Dropdown,
Strap length (mm),strap_length_mm,Dropdown,
Strap material,strap_material,Dropdown,
Strap padding,strap_padding,Dropdown,
Strap style,strap_style,Dropdown,
Strap type,strap_type,Dropdown,
String color,string_color,Dropdown,
String material,string_material,Dropdown,
String tension (kg),string_tension_kg,Dropdown,
String thickness (mm),string_thickness_mm,Dropdown,
